Fname,Lname,Goals Scored,Assists,Total Points,Minutes,Goals Conceded,Clean Sheets
Andy,King,3,1,51,1247,26,1
Lukasz,Fabianski,0,0,157,3420,56,9
Kristoffer,Nordfeldt,0,0,0,0,0,0
Kyle,Naughton,0,2,101,3030,50,9
Angel,Rangel,0,0,4,154,3,0
Federico,Fernández,1,1,85,2676,44,7
Stephen,Kingsley,0,0,0,0,0,0
Mike,van der Hoorn,1,0,74,1944,27,8
Alfie,Mawson,2,1,112,3420,56,9
Martin,Olsson,0,1,89,3149,50,10
Wayne,Routledge,0,0,17,420,11,1
Leon,Britton,0,0,10,301,1,3
Jay,Fulton,0,0,1,17,0,0
Sung-yueng,Ki,2,2,73,1865,29,5
Jefferson,Montero,0,0,0,0,0,0
Leroy,Fer,1,1,41,1394,26,4
Nathan,Dyer,0,1,41,1300,21,3
Tom,Carroll,0,4,85,2562,39,7
Modou,Barrow,0,0,0,0,0,0
Luciano,Narsingh,1,0,30,614,15,1
Roque,Mesa,0,0,18,753,16,2
Oliver,McBurnie,0,1,16,267,5,0
Jordan,Ayew,7,2,108,2850,49,7
Tammy,Abraham,5,3,86,1715,31,4
André,Ayew,3,5,77,1834,42,3
Kyle,Bartley,0,0,5,233,4,0
Sam,Clucas,3,1,75,2039,30,5
Renato,Sanches,0,0,20,699,10,2
Wilfried,Bony,2,1,33,701,8,2
Joe,Rodon,0,0,0,0,0,0
Erwin,Mulder,0,0,0,0,0,0
Connor,Roberts,0,0,7,267,4,0
Fernando,Llorente,1,0,22,224,2,1
Hugo,Lloris,0,0,144,3240,35,15
Michel,Vorm,0,0,3,90,1,0
Toby,Alderweireld,0,0,43,1177,13,5
Danny,Rose,0,2,24,800,14,2
Jan,Vertonghen,0,1,138,3203,31,16
Ben,Davies,2,7,143,2323,20,12
Kieran,Trippier,0,7,113,1912,21,9
Eric,Dier,0,2,85,2822,30,15
Mousa,Dembélé,0,0,52,1875,22,7
Erik,Lamela,2,4,55,826,12,4
Christian,Eriksen,11,10,199,3218,33,17
Bamidele,Alli,9,13,175,2957,28,16
Victor,Wanyama,1,0,32,837,11,2
Heung-Min,Son,12,8,178,2292,18,14
Harry,Winks,0,1,31,768,9,4
Moussa,Sissoko,1,1,58,1385,18,7
Harry,Kane,29,2,217,3074,34,15
Vincent,Janssen,0,0,1,1,0,0
Kyle,Walker-Peters,0,2,13,188,4,1
Cameron,Carter-Vickers,0,0,0,0,0,0
Davinson,Sánchez,0,0,107,2532,21,13
Tashan,Oakley-Boothe,0,0,0,0,0,0
Serge,Aurier,2,2,77,1427,13,6
Juan,Foyth,0,0,0,0,0,0
Paulo,Gazzaniga,0,0,9,90,0,1
Alfie,Whiteman,0,0,0,0,0,0
Lucas,Rodrigues Moura da Silva,0,1,11,206,6,0
Kazaiah,Sterling,0,0,0,0,0,0
Andre,Gray,5,3,79,1486,30,5
Nathaniel,Chalobah,0,0,13,447,7,3
Molla,Wagué,1,0,19,438,8,1
Costel,Pantilimon,0,0,0,0,0,0
Heurelho,Gomes,0,0,64,2128,40,5
Younes,Kaboul,0,0,7,151,3,1
Craig,Cathcart,0,0,14,495,6,1
Sebastian,Prödl,0,0,42,1566,29,5
José,Holebas,0,4,72,2381,47,6
Miguel,Britos,1,0,22,795,16,2
Christian,Kabasele,2,0,68,2329,43,6
Daryl,Janmaat,3,1,59,1818,37,2
Adrian,Mariappa,0,0,58,2206,43,6
Brandon,Mason,0,0,0,0,0,0
Francisco,Femenía Far,1,1,65,1709,34,5
Tom,Cleverley,1,2,58,1900,33,6
Etienne,Capoue,1,1,48,1537,29,4
Valon,Behrami,0,0,0,0,0,0
Steven,Berghuis,0,0,0,0,0,0
Nordin,Amrabat,0,0,6,198,3,1
Isaac,Success,0,0,0,0,0,0
Abdoulaye,Doucouré,7,4,136,3324,63,9
Roberto,Pereyra,5,3,81,1610,34,1
Will,Hughes,2,3,53,987,16,4
Troy,Deeney,5,2,73,1836,30,6
Stefano,Okaka,1,1,24,442,9,2
Mauro,Zárate,0,0,0,0,0,0
Ben,Watson,0,0,12,455,12,0
Jerome,Sinclair,0,0,4,29,1,0
Richarlison,de Andrade,5,8,125,2817,54,8
André,Carrillo,1,3,64,1529,31,4
Orestis,Karnezis,0,0,47,1291,24,4
Marvin,Zeegelaar,0,2,28,993,18,2
